Facility,Health authority,Regulation/Legislation,Street address,City/postal code,Accreditation status,Accreditation expiry date,Phone number,Operator (name),Phone number of complaint contact,Opened,Current language(s) spoken by staff,Private beds (not publicly funded),Publicly funded beds (short- and long-term),Total beds,Private rooms,Semi-private rooms,Multi-person rooms,Case mix index Facility,Case mix index B.C.
Agassiz Seniors Community,Fraser Health,Community Care & Assisted Living Act,1525 MacKay Crescent,Agassiz V0M1A3,Unknown,not available,(604) 796-3886,Park Place Seniors Living Inc.,(604) 796-3886,2008,"English, German, Dutch, Punjabi, Hindi, Tagalog, Japanese, Albanian, Spanish, Italian",11,63,74,68,0,0,0.56,0.58
Baillie House,Fraser Health,Hospital Act,11666 Laity St,Maple Ridge V2X7G5,Unknown,not available,(604) 476-7888,Fraser Health,1st/2nd floor: (604)-466-7933 3rd floor: (604) 466-7935,2006,English,0,148,148,116,16,0,0.58,0.58
Belvedere Care Centre,Fraser Health,Hospital Act,739 Alderson Avenue,Coquitlam V3K7B3,Unknown,not available,(604) 939-5991,Belvedere Seniors Living,(604) 939-5991,2006,"English, French, Hindi, Tagalog, German, Romanian, Cantonese, Mandarin",67,56,123,146,2,0,0.58,0.58
Bevan Village,Fraser Health,Community Care & Assisted Living Act,33386 Bevan Ave.,Abbotsford V2S5G6,Not Accredited,not applicable,(604) 850-5416,Trillium Communities,(604) 850-5416 x 122,1989,"English, Punjabi, French, Hindi, Cantonese. Tagalog",100,22,122,105,5,0,0.60,0.58
Bradley Center,Fraser Health,Hospital Act,45600 Menholm Rd,Chilliwack V2P1P7,Unknown,not available,(604) 795-4102,Fraser Health,(604) 795-4103,n/a,"English, Cantonese, Mandarin, Punjabi",0,90,90,8,1,20,0.59,0.58
Brookside Lodge,Fraser Health,Community Care & Assisted Living Act,19550 Fraser Highway,Surrey V3S6K5,Unknown,not available,(604) 530-6595,Sienna Senior Living,(604) 530-6595 x 101,2009,"English, Spanish, Hindi, Cantonese, Punjabi, Filipino , Hungarian",14,89,103,93,5,0,0.60,0.58
Buchanan Lodge,Fraser Health,Community Care & Assisted Living Act,409 Blair Ave,New Westminster V3L4A4,Unknown,not available,(604) 522-7033,Governing Council of the Salvation Army in Canada,(604) 517-4125,1997,"English, Mandarin, Cantonese, Hindi, Persian, Hebrew, Italian",0,112,112,104,4,0,0.57,0.58
Cartier House Seniors Community,Fraser Health,Community Care & Assisted Living Act,1419 Cartier St,Coquitlam V3K2C6,Unknown,not available,(604) 939-4654,Park Place Seniors Living Inc.,(604) 939-4654,1974,"English, Tagalog, Cantonese, Mandarin, Hindi, Punjabi,",0,78,78,30,24,0,0.59,0.58
Carlton Gardens Care Centre,Fraser Health,Community Care & Assisted Living Act,4108 Norfolk Street,Burnaby V5G0B4,Accredited,2021,(604) 419-3000,Chartwell Retirement Residences,(604) 419-3007,2012,"French, Amharic, Cantonese, Croatian, Italian, Japanese, Korean, Punjabi, Spanish, Tagalog, Vietnamese, English",11,117,128,120,4,0,0.55,0.58
CareLife Fleetwood,Fraser Health,Hospital Act,8265 159th Street,Surrey V4N5T5,Unknown,not available,(604) 598-7200,Fraser Health,(604) 598-7200,2008,"English, Hindi, Punjabi, Filipino, Urdu, Polish, French, German, Mandarin, Romanian, Cantonese, Greek",0,191,191,167,12,0,0.67,0.58
